price,bed,bath,sqft,type,yearbuilt,parking,heating,cooling,area
"$1,199,000",2,null,null,Single Family,1926,No Data,Forced air,Central,San Francisco
"$2,488,000",--,null,null,Multi Family,1957,No Data,No Data,No Data,San Francisco
"$2,995,000",3,null,null,Condo,1906,None,Forced air,Central,San Francisco
"$1,599,000",2,null,null,Condo,1896,Attached Garage,Forced air,Central,San Francisco
"$2,900,000",2,null,null,Multi Family,1937,No Data,No Data,No Data,San Francisco
"$3,500,000",3,null,null,Single Family,1909,On street,Forced air,Central,San Francisco
"$6,995,000",5,null,null,Single Family,No Data,Attached Garage,Forced air,Central,San Francisco
"$4,495,000",6,null,null,Single Family,1963,Attached Garage,No Data,No Data,San Francisco
"$3,349,000",4,3,"2,915",Condo,2001,1 space,Forced air,Central,San Francisco
"$2,760,000",3,2,"1,854",Single Family,1905,1 space,Forced air,Central,San Francisco
"$1,799,000",5,null,null,Multi Family,1912,No Data,Baseboard,No Data,San Francisco
"$8,280,000",--,null,null,Multi Family,1900,No Data,No Data,No Data,San Francisco
"$1,095,000",2,null,null,Single Family,1900,No Data,Forced air,Central,San Francisco
"$4,895,000",4,null,null,Single Family,No Data,Attached Garage,Gas,No Data,San Francisco
"$5,495,000",4,4,"3,850",Single Family,1941,2 spaces,Forced air,Central,San Francisco
null,3,4,"3,660",Single Family,1958,2 spaces,Forced air,Central,San Francisco
"$1,995,000",3,null,null,Single Family,1957,Attached Garage,No Data,No Data,San Francisco
"$1,895,000",4,null,null,Multi Family,1900,Attached Garage,No Data,No Data,San Francisco
"$8,280,000",6,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$5,250,000",3,4,"3,432",Single Family,1900,Attached Garage,No Data,No Data,San Francisco
"$2,300,000",2,null,null,Multi Family,1947,No Data,Forced air,Central,San Francisco
"$8,500,000",4,null,null,Multi Family,1907,Attached Garage,No Data,No Data,San Francisco
"$3,795,000",3,null,null,Single Family,1931,3 spaces,Gas,No Data,San Francisco
"$1,549,000",2,null,null,Condo,1902,None,Forced air,Central,San Francisco
"$3,989,000",--,null,null,Multi Family,1900,Attached Garage,No Data,Other,San Francisco
"$2,267,871",2,null,null,Single Family,1904,No Data,No Data,No Data,San Francisco
"$849,000",1,null,null,Condo,1964,1 space,Baseboard,No Data,San Francisco
"$1,494,000",3,null,null,Condo,1917,Attached Garage,Forced air,Central,San Francisco
"$2,500,000",3,2,"1,512",Single Family,1909,No Data,Forced air,None,San Francisco
"$5,850,000",--,null,null,Multi Family,1908,4 spaces,Forced air,Central,San Francisco
"$1,795,000",2,2,"1,414",Single Family,1910,No Data,Forced air,None,San Francisco
"$3,895,000",4,4,"3,321",Single Family,2019,No Data,Forced air,Central,San Francisco
"$1,049,000",1,1,851,Condo,1981,1 space,Baseboard,No Data,San Francisco
"$4,495,000",5,null,null,Single Family,1906,No Data,Forced air,Central,San Francisco
"$6,689,000",5,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$2,495,000",3,null,null,Single Family,1900,None,Forced air,Central,San Francisco
"$4,495,000",5,null,null,Multi Family,1963,Attached Garage,No Data,No Data,San Francisco
"$2,950,000",5,null,null,Multi Family,1900,No Data,Forced air,Central,San Francisco
"$699,000",1,null,null,Condo,1904,None,No Data,No Data,San Francisco
"$2,995,000",4,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$2,250,000",3,null,null,Condo,1900,4 spaces,Forced air,Geothermal,San Francisco
"$2,575,000",2,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$2,650,000",4,null,null,Single Family,1929,2 spaces,Forced air,Central,San Francisco
"$6,995,000",--,null,null,Multi Family,No Data,Attached Garage,Forced air,Central,San Francisco
"$5,795,000",4,null,null,Single Family,No Data,Attached Garage,Forced air,Central,San Francisco
"$1,895,000",2,null,null,Condo,1903,None,Forced air,Central,San Francisco
"$1,898,000",3,null,null,Condo,1997,Attached Garage,Forced air,Central,San Francisco
"$2,795,000",3,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$8,500,000",4,null,null,Single Family,1907,Attached Garage,No Data,No Data,San Francisco
"$1,675,000",--,null,null,Multi Family,1922,No Data,No Data,None,San Francisco
"$1,555,000",2,1,"1,120",Single Family,1925,Attached Garage,Forced air,No Data,San Francisco
"$2,695,000",4,null,null,Condo,1969,1 space,Forced air,Central,San Francisco
"$3,895,000",4,4,"2,454",Single Family,1905,Attached Garage,Forced air,Central,San Francisco
"$3,495,000",4,null,null,Single Family,1900,Attached Garage,No Data,No Data,San Francisco
"$4,600,000",3,null,null,Single Family,1978,Attached Garage,Forced air,Central,San Francisco
"$2,199,000",3,null,null,Single Family,1900,Attached Garage,Forced air,Central,San Francisco
"$3,552,636",6,5,"3,000",Multi Family,2019,On street,No Data,No Data,San Francisco
"$1,450,000",2,null,null,Condo,1908,No Data,Forced air,Central,San Francisco
"$3,950,000",2,null,null,Multi Family,1904,No Data,Forced air,Wall,San Francisco
"$1,495,000",1,null,null,Condo,1906,None,Forced air,Central,San Francisco
"$1,575,000",2,null,null,Condo,1983,Attached Garage,"Baseboard, Forced air",Central,San Francisco
"$6,750,000",--,null,null,Multi Family,1925,3 spaces,No Data,No Data,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$1,795,000",3,null,null,Condo,2016,Attached Garage,No Data,No Data,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$7,950,000",5,null,null,Condo,1926,Attached Garage,Forced air,Central,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$1,495,000",3,null,null,Condo,1962,Attached Garage,Forced air,Central,San Francisco
"$7,750,000",--,null,null,Multi Family,1900,9 spaces,Forced air,Central,San Francisco
"$7,950,000",5,4,"5,180",Cooperative,1926,Attached Garage,No Data,Central,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$2,195,000",2,2,"1,750",Condo,1981,1 space,Forced air,Central,San Francisco
"$3,500,000","3,497 sqft",null,null,null,null,null,null,null,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$26,800,000",8,6,"10,734",Single Family,1906,4 spaces,"Forced air, Radiant",None,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$3,194,900",2,null,null,Multi Family,1907,Attached Garage,Forced air,Central,San Francisco
"$5,499,000",4,null,null,Single Family,1900,Attached Garage,Forced air,Central,San Francisco
"$1,149,000",2,null,null,Condo,1999,1 space,Forced air,Central,San Francisco
"$8,700,000",6,null,null,Multi Family,1911,No Data,No Data,No Data,San Francisco
"$6,725,000",--,null,null,Multi Family,1965,12 spaces,Gas,Wall,San Francisco
"$1,735,000",2,null,null,Condo,1962,1 space,Forced air,Central,San Francisco
"$3,194,900",4,null,null,Condo,1907,Attached Garage,Forced air,Central,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$32,000,000",9,15,"24,000",Single Family,1905,20 spaces,Radiant,No Data,San Francisco
"$2,880,000",4,null,null,Single Family,1895,Detached Garage,Gas,None,San Francisco
"$39,000,000",6,9,"11,600",Single Family,No Data,No Data,No Data,No Data,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$675,000",1,null,null,Condo,1959,Detached Garage,Wall,Wall,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$1,310,228",2,1,990,Single Family,1922,1 space,No Data,No Data,San Francisco
"$2,788,868",11,5,"3,839",Single Family,1916,No Data,No Data,No Data,San Francisco
"$995,000",2,2,905,Single Family,1951,1 space,Forced air,Central,San Francisco
"$1,356,328",--,null,null,Single Family,1925,No Data,No Data,No Data,San Francisco
"$1,259,000",2,null,null,Condo,2020,No Data,No Data,No Data,San Francisco
"$1,351,830",4,4,"2,087",Single Family,1924,1 space,Forced air,Central,San Francisco
"$1,650,000",5,4,"2,350",Single Family,1924,Attached Garage,Forced air,None,San Francisco
"$1,650,000",4,null,null,Single Family,1926,Attached Garage,Forced air,Central,San Francisco
"$1,022,000",2,null,null,Condo,2020,No Data,No Data,No Data,San Francisco
"$1,020,000",1,null,null,Condo,2020,No Data,No Data,No Data,San Francisco
"$1,750,000",6,3,"2,500",Single Family,1946,2 spaces,No Data,No Data,San Francisco
"$1,375,000",2,1,"1,286",Single Family,1946,1 space,Gas,None,San Francisco
"$1,408,357",--,null,null,Single Family,1920,No Data,No Data,No Data,San Francisco
"$1,395,000",2,1,"1,325",Single Family,1936,3 spaces,No Data,No Data,San Francisco
